Date,Open,High,Low,Close,Adj Close,Volume
1/4/2010,14.175,14.33,14.15,14.205,12.153588,18905400
1/5/2010,14.225,14.27,14.04,14.125,12.085142,29157800
1/6/2010,14.105,14.225,14.04,14.09,12.055198,21329000
1/7/2010,14.045,14.08,13.88,13.98,11.961082,28677800
1/8/2010,13.97,14.275,13.935,14.26,12.200647,41759000
1/11/2010,14.3,14.36,14.05,14.21,12.157867,31523400
1/12/2010,14.07,14.09,13.61,13.705,11.725797,37312800
1/13/2010,13.81,13.93,13.545,13.88,11.875525,32893600
1/14/2010,13.895,13.91,13.72,13.9,11.892636,52052200
1/15/2010,13.84,13.86,13.455,13.465,11.520456,44643800
1/19/2010,13.505,13.7,13.5,13.66,11.687296,30379200
1/20/2010,13.58,13.595,13.4,13.585,11.623127,43078800
1/21/2010,13.61,13.79,13.4,13.505,11.55468,48359000
1/22/2010,13.385,13.41,12.765,12.835,10.981439,73004400
1/25/2010,12.92,13.1,12.91,13.01,11.131166,40163600
1/26/2010,12.95,13.12,12.885,12.9,11.037051,29294600
1/27/2010,12.93,13.14,12.845,13.085,11.195334,45973000
1/28/2010,13.075,13.11,12.55,12.77,10.925824,60518400
1/29/2010,12.84,12.925,12.265,12.38,10.592147,55877600
2/1/2010,12.435,12.7,12.43,12.65,10.823155,26750800
2/2/2010,12.715,12.86,12.64,12.795,10.947214,29452600
2/3/2010,12.71,12.805,12.62,12.75,10.908713,26919600
2/4/2010,12.63,12.64,12.22,12.255,10.485196,47878800
2/5/2010,12.275,12.58,12.21,12.555,10.741875,58818200
2/8/2010,12.54,12.75,12.395,12.505,10.699094,37975800
2/9/2010,12.71,12.81,12.56,12.635,10.810321,27880400
2/10/2010,12.59,12.755,12.515,12.67,10.840264,24377000
2/11/2010,12.65,12.995,12.575,12.895,11.032772,31574000
2/12/2010,12.82,13.18,12.685,13.03,11.148276,41159600
2/16/2010,13.195,13.385,13.035,13.32,11.396397,53848400
2/17/2010,13.4,13.45,13.18,13.33,11.404951,35746600
2/18/2010,13.28,13.42,13.19,13.405,11.46912,39493400
2/19/2010,13.335,13.51,13.26,13.42,11.481955,22433800
2/22/2010,13.49,13.495,13.29,13.38,11.447731,21475000
2/23/2010,13.3,13.345,12.965,13.055,11.169667,35881600
2/24/2010,13.13,13.4,13.09,13.285,11.366451,30822400
2/25/2010,13.06,13.28,12.96,13.265,11.349339,28511200
2/26/2010,13.32,13.32,13.09,13.19,11.285171,27008800
3/1/2010,13.32,13.53,13.3,13.51,11.558956,22606400
3/2/2010,13.57,13.645,13.36,13.44,11.499067,24307400
3/3/2010,13.45,13.55,13.305,13.345,11.417786,19777800
3/4/2010,13.335,13.41,13.165,13.365,11.434897,37219800
3/5/2010,13.44,13.57,13.325,13.515,11.563236,29943800
3/8/2010,13.53,13.575,13.465,13.47,11.524734,11412400
3/9/2010,13.375,13.535,13.31,13.4,11.464844,40839000
3/10/2010,13.445,13.73,13.43,13.68,11.704408,28505400
3/11/2010,13.61,13.65,13.415,13.55,11.593183,33573600
3/12/2010,13.6,13.62,13.475,13.505,11.55468,23718200
3/15/2010,13.465,13.49,13.325,13.415,11.477678,11841000
3/16/2010,13.46,13.87,13.46,13.83,11.832745,44997400
3/17/2010,13.85,14.07,13.85,14.025,11.999583,36218000
3/18/2010,13.995,14.265,13.825,13.925,11.914025,25713800
3/19/2010,13.745,13.955,13.645,13.745,11.76002,28400800
3/22/2010,13.67,14.035,13.645,13.995,11.973918,22261800
3/23/2010,14.05,14.315,14.04,14.305,12.239147,31856000
3/24/2010,14.225,14.225,13.925,13.98,11.961082,33556400
3/25/2010,14.125,14.185,13.94,13.955,11.939694,23512200
3/26/2010,13.99,14.09,13.775,13.9,11.892636,21642400
3/29/2010,14,14.065,13.945,13.975,11.956804,7788000
3/30/2010,14.02,14.1,13.88,14.02,11.995309,12877000
