Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,31.790001,32.189999,31.610001,31.670000,22.441113,2102700
2010-01-05,31.670000,31.809999,31.410000,31.620001,22.405685,2040100
2010-01-06,31.709999,31.850000,31.340000,31.559999,22.363167,2105000
2010-01-07,31.459999,31.650000,31.070000,31.309999,22.186020,2033400
2010-01-08,31.200001,31.510000,31.000000,31.490000,22.313562,2393100
2010-01-11,31.580000,31.590000,30.840000,31.309999,22.186020,2963900
2010-01-12,30.549999,30.750000,29.700001,30.010000,21.264851,6868800
2010-01-13,30.200001,30.200001,29.389999,30.000000,21.257763,5327100
2010-01-14,30.000000,30.049999,29.379999,29.969999,21.236509,5073700
2010-01-15,29.850000,29.850000,28.930000,28.959999,20.520826,5807800
2010-01-19,29.030001,29.549999,29.020000,29.469999,20.882219,3906700
2010-01-20,29.520000,29.520000,28.549999,28.930000,20.499571,4657200
2010-01-21,29.129999,29.520000,28.780001,29.059999,20.591684,4415200
2010-01-22,29.100000,29.100000,27.660000,27.760000,19.670515,4761400
2010-01-25,27.870001,28.320000,27.780001,28.010000,19.847666,2937000
2010-01-26,27.740000,27.990000,27.549999,27.600000,19.557152,3203300
2010-01-27,27.430000,28.000000,27.370001,27.700001,19.628004,4760700
2010-01-28,27.660000,27.700001,26.620001,27.150000,19.238279,7521600
2010-01-29,27.600000,27.950001,26.760000,26.959999,19.103645,7080100
2010-02-01,27.049999,27.610001,26.920000,27.520000,19.500456,4133900
2010-02-02,27.549999,27.930000,27.350000,27.780001,19.684689,2902000
2010-02-03,27.620001,27.870001,27.469999,27.650000,19.592569,2201000
2010-02-04,27.440001,27.440001,26.500000,26.500000,18.777689,5900100
2010-02-05,26.500000,26.950001,26.379999,26.900000,19.061129,5844800
2010-02-08,26.980000,27.150000,26.480000,26.799999,18.990263,5526400
2010-02-09,27.209999,27.559999,26.920000,27.120001,19.217022,4841300
2010-02-10,27.030001,27.420000,26.820000,27.049999,19.167418,4745300
2010-02-11,27.180000,27.980000,26.930000,27.670000,19.606745,8066300
2010-02-12,27.510000,28.200001,27.190001,27.990000,19.833492,7836200
2010-02-16,28.600000,28.690001,28.139999,28.600000,20.265736,6318100
2010-02-17,28.670000,28.850000,28.010000,28.379999,20.109844,6629000
2010-02-18,28.959999,29.799999,28.530001,29.570000,20.953070,10230000
2010-02-19,29.360001,30.000000,29.280001,29.750000,21.080618,3853400
2010-02-22,29.950001,30.040001,29.590000,29.889999,21.179813,4298200
2010-02-23,29.770000,29.879999,28.920000,29.150000,20.655458,6081200
2010-02-24,29.299999,29.660000,29.209999,29.490000,20.896385,3698100
2010-02-25,29.200001,29.629999,28.750000,29.629999,20.995581,4270500
